Sector,year,month,avg_daily_return,avg_volatility,avg_pe_ratio,avg_market_cap,extreme_moves,num_tickers
Automobile,1998,12,0.0,0.0,32.78,3.036739534848E12,0,2
Automobile,1999,1,0.0034,0.0039,32.78,3.036739534848E12,6,2
Automobile,1999,2,0.0109,0.0433,32.78,3.036739534848E12,11,2
Automobile,1999,3,0.0193,0.1647,32.78,3.036739534848E12,15,2
Automobile,1999,4,0.0209,0.1578,32.78,3.036739534848E12,16,2
Automobile,1999,5,0.0037,0.1361,32.78,3.036739534848E12,10,2
Automobile,1999,6,0.012,0.0485,32.78,3.036739534848E12,11,2
Automobile,1999,7,0.0156,0.0453,32.78,3.036739534848E12,16,2
Automobile,1999,8,0.0075,0.0457,32.78,3.036739534848E12,8,2
Automobile,1999,9,-0.0023,0.0321,32.78,3.036739534848E12,8,2
Automobile,1999,10,0.0073,0.0447,32.78,3.036739534848E12,16,2
Automobile,1999,11,0.0246,0.1482,32.78,3.036739534848E12,9,2
Automobile,1999,12,7.0E-4,0.1064,32.78,3.036739534848E12,10,2
Automobile,2000,1,0.0072,0.0463,32.78,3.036739534848E12,18,2
Automobile,2000,2,-0.0044,0.0486,32.78,3.036739534848E12,18,2
Automobile,2000,3,-0.0068,0.0517,32.78,3.036739534848E12,21,2
Automobile,2000,4,-0.0043,0.0461,32.78,3.036739534848E12,11,2
Automobile,2000,5,-0.0028,0.042,32.78,3.036739534848E12,16,2
Automobile,2000,6,-0.0029,0.0421,32.78,3.036739534848E12,0,2
Automobile,2000,7,-0.0068,0.0277,32.78,3.036739534848E12,9,2
Automobile,2000,8,-3.0E-4,0.0391,32.78,3.036739534848E12,2,2
Automobile,2000,9,-0.0041,0.0305,32.78,3.036739534848E12,4,2
Automobile,2000,10,-0.0042,0.0279,32.78,3.036739534848E12,7,2
Automobile,2000,11,0.0017,0.0303,32.78,3.036739534848E12,2,2
Automobile,2000,12,0.0042,0.0261,32.78,3.036739534848E12,4,2
Automobile,2001,1,0.0017,0.0211,32.78,3.036739534848E12,0,2
Automobile,2001,2,0.0028,0.0234,32.78,3.036739534848E12,5,2
Automobile,2001,3,-0.013,0.0388,32.78,3.036739534848E12,7,2
Automobile,2001,4,0.0019,0.0272,32.78,3.036739534848E12,4,2
Automobile,2001,5,5.0E-4,0.0265,32.78,3.036739534848E12,1,2
Automobile,2001,6,-0.0111,0.0213,32.78,3.036739534848E12,5,2
Automobile,2001,7,-0.0049,0.0293,32.78,3.036739534848E12,4,2
Automobile,2001,8,-0.002,0.0229,32.78,3.036739534848E12,0,2
Automobile,2001,9,-0.0027,0.026,32.78,3.036739534848E12,4,2
Automobile,2001,10,0.0086,0.0293,32.78,3.036739534848E12,5,2
Automobile,2001,11,0.0124,0.0363,32.78,3.036739534848E12,10,2
Automobile,2001,12,-0.0032,0.0314,32.78,3.036739534848E12,2,2
Automobile,2002,1,0.0146,0.0342,32.78,3.036739534848E12,11,2
Automobile,2002,2,0.0112,0.0459,32.78,3.036739534848E12,11,2
Automobile,2002,3,-0.0044,0.0401,32.78,3.036739534848E12,6,2
Automobile,2002,4,0.0113,0.0383,32.78,3.036739534848E12,6,2
Automobile,2002,5,-0.0072,0.0461,32.78,3.036739534848E12,9,2
Automobile,2002,6,0.0123,0.039,32.45,2.984782689373E12,6,4
