Ticker,Company_Name,Sector,year,yearly_return,avg_volatility,avg_pe_ratio,extreme_move_days,bullish_days,trading_days,bullish_pct
EICHERMOT.NS,Eicher Motors Ltd.,Automobile,1998,0.0,0.0,38.38,0,0,1,0.0
TITAN.NS,Titan Company Ltd.,Consumer Durables,1998,0.0,0.0,85.46,0,0,1,0.0
AXISBANK.NS,Axis Bank Ltd.,Financials,1998,0.0,0.0,16.26,0,0,1,0.0
ITC.NS,ITC Ltd.,FMCG,1998,0.0,0.0,19.8,0,1,1,100.0
RELIANCE.NS,Reliance Industries Ltd.,Energy,1998,0.0,0.0,22.67,0,1,1,100.0
HDFCBANK.NS,HDFC Bank Ltd.,Financials,1998,0.0,0.0,20.75,0,0,1,0.0
INFY.NS,Infosys Ltd.,IT,1998,0.0,0.0,23.15,0,0,1,0.0
M&M.NS,Mahindra & Mahindra Ltd.,Automobile,1998,0.0,0.0,27.17,0,1,1,100.0
WIPRO.NS,Wipro Ltd.,IT,1998,0.0,0.0,18.76,0,1,1,100.0
BPCL.NS,Bharat Petroleum Corporation Ltd.,Energy,1998,0.0,0.0,6.33,0,1,1,100.0
SBIN.NS,State Bank of India,Financials,1998,0.0,0.0,11.98,0,1,1,100.0
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Pharma,1998,0.0,0.0,36.63,0,0,1,0.0
CIPLA.NS,Cipla Ltd.,Pharma,1998,0.0,0.0,23.53,0,1,1,100.0
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Pharma,1998,0.0,0.0,17.93,0,1,1,100.0
TATASTEEL.NS,Tata Steel Ltd.,Metals,1998,0.0,0.0,35.44,0,1,1,100.0
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,1998,0.0,0.0,9.24,0,0,1,0.0
TATACONSUM.NS,Tata Consumer Products Ltd.,FMCG,1998,0.0,0.0,76.41,0,0,1,0.0
BRITANNIA.NS,Britannia Industries Ltd.,FMCG,1998,0.0,0.0,60.98,0,0,1,0.0
HINDALCO.NS,Hindalco Industries Ltd.,Metals,1998,0.0,0.0,12.05,0,1,1,100.0
HINDUNILVR.NS,Hindustan Unilever Ltd.,FMCG,1998,0.0,0.0,51.29,0,0,1,0.0
TATASTEEL.NS,Tata Steel Ltd.,Metals,1999,43.227,0.7966,35.44,50,106,260,40.8
WIPRO.NS,Wipro Ltd.,IT,1999,5.2697,0.103,18.76,61,117,260,45.0
M&M.NS,Mahindra & Mahindra Ltd.,Automobile,1999,3.6236,0.1136,27.17,54,106,260,40.8
INFY.NS,Infosys Ltd.,IT,1999,2.4483,0.0309,23.15,47,123,260,47.3
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Pharma,1999,2.0865,0.0387,36.63,66,112,260,43.1
EICHERMOT.NS,Eicher Motors Ltd.,Automobile,1999,1.7345,0.0507,38.38,82,114,260,43.8
CIPLA.NS,Cipla Ltd.,Pharma,1999,1.6892,0.0316,23.53,44,115,260,44.2
HDFCBANK.NS,HDFC Bank Ltd.,Financials,1999,1.2307,0.0315,20.75,53,114,260,43.8
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Pharma,1999,1.2198,0.0332,17.93,47,114,260,43.8
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,1999,1.0236,0.0722,9.24,55,97,260,37.3
RELIANCE.NS,Reliance Industries Ltd.,Energy,1999,0.8126,0.0276,22.67,28,107,260,41.2
BPCL.NS,Bharat Petroleum Corporation Ltd.,Energy,1999,0.7348,0.0361,6.33,62,103,260,39.6
TITAN.NS,Titan Company Ltd.,Consumer Durables,1999,0.7157,0.0367,85.46,68,124,260,47.7
AXISBANK.NS,Axis Bank Ltd.,Financials,1999,0.6446,0.0322,16.26,32,94,260,36.2
TATACONSUM.NS,Tata Consumer Products Ltd.,FMCG,1999,0.5704,0.0313,76.41,39,105,260,40.4
HINDALCO.NS,Hindalco Industries Ltd.,Metals,1999,0.5608,0.0259,12.05,28,101,260,38.8
SBIN.NS,State Bank of India,Financials,1999,0.51,0.0302,11.98,36,110,260,42.3
BRITANNIA.NS,Britannia Industries Ltd.,FMCG,1999,0.4188,0.0323,60.98,30,100,260,38.5
HINDUNILVR.NS,Hindustan Unilever Ltd.,FMCG,1999,0.3162,0.0185,51.29,6,100,260,38.5
ITC.NS,ITC Ltd.,FMCG,1999,-0.0397,0.0254,19.8,20,96,260,36.9
AXISBANK.NS,Axis Bank Ltd.,Financials,2000,0.8418,0.034,16.26,44,110,261,42.1
RELIANCE.NS,Reliance Industries Ltd.,Energy,2000,0.5186,0.0263,22.67,27,109,261,41.8
HDFCBANK.NS,HDFC Bank Ltd.,Financials,2000,0.4917,0.0314,20.75,35,119,261,45.6
ITC.NS,ITC Ltd.,FMCG,2000,0.4778,0.0329,19.8,40,117,261,44.8
WIPRO.NS,Wipro Ltd.,IT,2000,0.3366,0.052,18.76,107,105,261,40.2
BRITANNIA.NS,Britannia Industries Ltd.,FMCG,2000,0.2217,0.0239,60.98,24,119,261,45.6
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Pharma,2000,0.1799,0.042,36.63,63,113,261,43.3
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Pharma,2000,0.1004,0.0368,17.93,51,111,261,42.5
TATASTEEL.NS,Tata Steel Ltd.,Metals,2000,0.0788,0.0287,35.44,30,106,261,40.6
HINDUNILVR.NS,Hindustan Unilever Ltd.,FMCG,2000,0.0788,0.0311,51.29,31,108,261,41.4
HINDALCO.NS,Hindalco Industries Ltd.,Metals,2000,0.0263,0.0274,12.05,28,108,261,41.4
INFY.NS,Infosys Ltd.,IT,2000,-0.0123,0.0412,23.15,66,111,261,42.5
SBIN.NS,State Bank of India,Financials,2000,-0.0186,0.0266,11.98,25,111,261,42.5
CIPLA.NS,Cipla Ltd.,Pharma,2000,-0.0928,0.0349,23.53,45,106,261,40.6
BPCL.NS,Bharat Petroleum Corporation Ltd.,Energy,2000,-0.1366,0.0394,6.33,56,112,261,42.9
EICHERMOT.NS,Eicher Motors Ltd.,Automobile,2000,-0.2546,0.0355,38.38,50,116,261,44.4
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,2000,-0.3566,0.0275,9.24,24,126,261,48.3
TATACONSUM.NS,Tata Consumer Products Ltd.,FMCG,2000,-0.6989,0.0279,76.41,30,92,261,35.2
TITAN.NS,Titan Company Ltd.,Consumer Durables,2000,-0.722,0.0319,85.46,39,105,261,40.2
M&M.NS,Mahindra & Mahindra Ltd.,Automobile,2000,-0.7608,0.0408,27.17,62,106,261,40.6
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Pharma,2001,0.9897,0.0452,17.93,24,125,261,47.9
BPCL.NS,Bharat Petroleum Corporation Ltd.,Energy,2001,0.65,0.0342,6.33,40,117,261,44.8
SHREECEM.NS,Shree Cement Ltd.,Cement,2001,0.4136,0.0328,56.5,26,54,132,40.9
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,2001,0.3225,0.0228,9.24,17,122,261,46.7
HINDUNILVR.NS,Hindustan Unilever Ltd.,FMCG,2001,0.1795,0.0204,51.29,7,122,261,46.7
CIPLA.NS,Cipla Ltd.,Pharma,2001,0.1736,0.0233,23.53,10,118,261,45.2
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Pharma,2001,0.1717,0.0245,36.63,18,101,261,38.7
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financials,2001,0.121,0.0299,21.6,11,53,132,40.2
HDFCBANK.NS,HDFC Bank Ltd.,Financials,2001,0.0824,0.0202,20.75,9,128,261,49.0
SBIN.NS,State Bank of India,Financials,2001,0.0417,0.023,11.98,15,118,261,45.2
EICHERMOT.NS,Eicher Motors Ltd.,Automobile,2001,0.0248,0.0261,38.38,20,110,261,42.1
RELIANCE.NS,Reliance Industries Ltd.,Energy,2001,-0.001,0.0244,22.67,14,130,261,49.8
WIPRO.NS,Wipro Ltd.,IT,2001,-0.0347,0.0487,18.76,68,121,261,46.4
INFY.NS,Infosys Ltd.,IT,2001,-0.0688,0.0414,23.15,47,124,261,47.5
HINDALCO.NS,Hindalco Industries Ltd.,Metals,2001,-0.092,0.0205,12.05,12,127,261,48.7
TATACONSUM.NS,Tata Consumer Products Ltd.,FMCG,2001,-0.1034,0.0308,76.41,26,96,261,36.8
ITC.NS,ITC Ltd.,FMCG,2001,-0.1812,0.0226,19.8,13,115,261,44.1
BRITANNIA.NS,Britannia Industries Ltd.,FMCG,2001,-0.249,0.014,60.98,4,128,261,49.0
TATASTEEL.NS,Tata Steel Ltd.,Metals,2001,-0.2774,0.0273,35.44,25,102,261,39.1
TITAN.NS,Titan Company Ltd.,Consumer Durables,2001,-0.3002,0.0351,85.46,41,87,261,33.3
M&M.NS,Mahindra & Mahindra Ltd.,Automobile,2001,-0.3692,0.0295,27.17,27,101,261,38.7
AXISBANK.NS,Axis Bank Ltd.,Financials,2001,-0.3801,0.0297,16.26,34,90,261,34.5
EICHERMOT.NS,Eicher Motors Ltd.,Automobile,2002,1.5177,0.042,38.38,50,109,261,41.8
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financials,2002,1.5121,0.0371,21.6,37,109,261,41.8
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,2002,1.1071,0.0279,9.24,19,102,261,39.1
TITAN.NS,Titan Company Ltd.,Consumer Durables,2002,0.8977,0.0379,85.46,36,89,261,34.1
TATASTEEL.NS,Tata Steel Ltd.,Metals,2002,0.666,0.0212,35.44,10,114,261,43.7
AXISBANK.NS,Axis Bank Ltd.,Financials,2002,0.6456,0.0232,16.26,18,74,261,28.4
